id,nombre,carrera_id
1,Tecnología de la Imagen,1
2,Elementos de Audio,1
3,Taller de Lectura y Escritura profesional,1
4,Educación Auditiva,1
5,Electrónica de las Comunicaciones,1
6,Lenguaje Audiovisual 1,1
7,Registro de Sonido en Audiovisuales,1
8,Montaje 1,1
9,Fotografía e Iluminación en Audiovisuales,1
10,Inglés I,1
11,Lenguaje Audiovisual 2,1
12,Audición y Análisis Musical,1
13,Taller de Edición de Sonido,1
14,Seminario de Pensamiento Nacional y Latinoamericano,1
15,Taller de Montaje,1
16,Realización Integral Audiovisual 1,1
17,Arte y Sociedad,1
18,Guión,1
19,Taller de Composición Sonora,1
20,Seminario de Justicia y Derechos Humanos,1
21,Banda Sonora,1
22,Géneros Estilos Audiovisuales,1
23,Taller de Experimentación Audiovisual,1
24,Realización Integral Audiovisual 2,1
25,Ética Profesional,1
26,Gestión de proyectos Audiovisuales,1
27,Estética,1
28,Comunicación Audiovisual,1
29,Tecnología de Postproducción 1,1
30,"Imagen, Tipografía e Identidad Cultural",1
31,Acústica,1
32,Organología,1
33,Semiótica,1
34,Inglés II,1
35,Metodología de Investigación,1
36,Optativa 1,1
37,Edición y Corrección Digital de Imagen,1
38,Tecnología de Postproducción 2,1
39,Montaje 2,1
40,Animación 3D 1,1
41,Composición Digital,1
42,Tecnología de Postproducción 3,1
43,Masterización y Postproducción 1,1
44,Sistemas de Electroacústica,1
45,Taller de Grabación 1,1
46,Masterización y Postproducción 2,1
47,Taller de Grabación 2,1
48,Alineación y Operación de sistemas de Amplificación,1
49,Optativa 2,1
50,Optativa 3,1
51,Taller de Trabajo Final Integrador Mención Postproducción de Imagen,1
52,Animación 3D 2,1
53,Taller de Postproducción de Imagen,1
54,Práctica Preprofesional Mención Postproducción de Imagen,1
55,Taller de Postproducción de Sonido en Audiovisuales,1
56,Audioanalisis,1
57,Taller de Trabajo Final Integrador Mención Sonido y Grabación,1
58,Práctica Preprofesional Mención Sonido y Grabación,1
59,Sociología Política,2
60,Fundamentos de Ciencia Política,2
61,Economía Política,2
62,Historia moderna y contemporánea,2
63,Instituciones del derecho,2
64,Seminario de Pensamiento Nacional y Latinoamericano,2
65,Estadística social,2
66,Teoría Política I,2
67,Metodología de la investigación social I,2
68,Teoría Política II,2
69,Derecho Constitucional,2
70,Fundamentos de Macroeconomía,2
71,Historia política y social latinoamericana,2
72,Metodología de la Investigación Social II,2
73,Teoría del Estado,2
74,Economía internacional,2
75,Historia política y social argentina,2
76,Taller de práctica pre-profesional - 1º etapa,2
77,Política internacional,2
78,Análisis de la sociedad argentina,2
79,Derecho administrativo,2
80,Teoría política contemporánea,2
81,Adminstración pública,2
82,Economía de gobierno y finanzas públicas,2
83,Gobierno local,2
84,Políticas públicas,2
85,Análisis político y opinión pública,2
86,Seminario de Justicia y Derechos Humanos,2
87,Planificación estratégica y análisis de politicas públicas,2
88,Formulación y evaluación de proyectos,2
89,Ideas políticas en América Latina,2
90,Política comparada,2
91,Política Latinoamericana,2
92,Comunicación política,2
93,Seminario optativo I,2
94,Seminario optativo II,2
95,Informática Modúlo 2: Procesador de textos,2
96,Informática Modúlo 7: Sistemas de información geográfica,2
97,Informática Modúlo 11: Programa estadístico para las Ciencias Sociales 1,2
98,Informática Modúlo 12: Programa estadístico para las Ciencias Sociales 2,2
99,Inglés I,2
100,Inglés II,2
101,Inglés III,2
102,Taller de práctica pre-profesional - 2º etapa,2
103,Taller de trabajo final integrador,2
104,Matemática I,3
105,Química general,3
106,Física I,3
107,Biología,3
108,Matemática II,3
109,Química inorgánica,3
110,Física II,3
111,Anatomía y Fisiología,3
112,Microbiología general,3
113,Química orgánica,3
114,Matemática III,3
115,Fisicoquímica y biofísica,3
116,Química analítica,3
117,Química biológica,3
118,Bromatología I,3
119,Industría y Tecnología de los Alimentos I,3
120,Microbiología de Alimentos I,3
121,Estadística y Bioestadística,3
122,Nutrición,3
123,Bromatología II,3
124,Industría y Tecnología de los Alimentos II,3
125,Equipos e Instalaciones I,3
126,Microbiología de los Alimentos II,3
127,Toxicología,3
128,Bromatología III,3
129,Industría y Tecnología de los Alimentos III,3
130,"Historia, Legislación y Ética Profesional",3
131,Práctica Preprofesional (Bromatología),3
132,Equipos e instalaciones II,3
133,Calidad,3
134,Conservación y empaque,3
135,Instrumentación y Automatización,3
136,Industría y Tecnología de los Alimentos IV,3
137,Economía y Gestión Empresaria,3
138,Formulación de proyectos industriales,3
139,Integración de la Industria Alimentaria,3
140,Industria alimenticia y medio ambiente,3
141,Industria y tecnología de los Alimentos V,3
142,Educación y Fiscalización,3
143,Trabajo Final,3
144,Taller de Diseño Industrial I (Formación Básica),4
145,"Tecnología, Materiales y Procesos I (Formación Básica)",4
146,Desarrollos Visuales,4
147,Dibujo Técnico,4
148,"Taller de Diseño Industrial II (Orientación maquinaria, equipos y vehículos)",4
149,"Tecnología, Materiales y Procesos II (Orientación maquinaria, equipos y vehículos)",4
150,Morfología,4
151,Representación Digital,4
152,Taller de Lectura y Escritura Profesional,4
153,Métodos del Diseño,4
154,"Taller de Diseño Industrial III (Orientación maquinaria, equipos y vehículos)",4
155,"Tecnología, Materiales y Procesos III (Orientación maquinaria, equipos y vehículos)",4
156,"Modelado Digital (Orientación maquinaria, equipos y vehículos)",4
157,Ciencia Aplicada al Diseño Industrial,4
158,Historia Social del Diseño I,4
159,Taller de Práctica Pre Profesional,4
160,Idioma Extranjero Nivel I,4
161,Seminario de Justicia y Derechos Humanos,4
162,Seminario de Pensamiento Nacional y Latinoamericano,4
163,Taller de Diseño Industrial IV (Orientación Transportes),4
